id,label
1,0.01612832
2,0.6722452
3,0.59013224
4,0.26770186
5,0.99995732
6,0.24032122
7,0.02583621
8,0.40083951
9,0.01729758
10,0.19074173
11,0.96356022
12,0.0177251
13,0.50232434
14,0.00435731
15,0.99365109
16,0.07015006
17,0.81781936
18,0.14103438
19,0.74863344
20,0.9096005
21,0.49371129
22,0.70920736
23,0.11955617
24,0.53329968
25,0.08276945
26,0.00496531
27,0.9990238
28,0.86714107
29,0.00014827
30,0.07965816
31,0.99999905
32,0.98879927
33,0.21054232
34,0.01225923
35,0.94756466
36,0.01989965
37,0.98809975
38,0.96821958
39,0.99999285
40,0.99995494
41,0.71580994
42,0.99559975
43,0.89795148
44,1.0
45,0.00982427
46,0.0019551
47,0.99970609
48,0.99907589
49,0.01913298
50,0.03171718
51,0.01095645
52,0.78808469
53,0.52395171
54,0.10119561
55,0.80326986
56,0.19337343
57,0.99900085
58,0.26841757
59,0.99645728
60,0.00551902
61,0.60682946
62,0.07242639
63,0.00666412
64,0.07515472
65,0.98626524
66,0.090847
67,0.97141212
68,0.99996185
69,0.18007489
70,0.08729222
71,0.99571985
72,0.00348613
73,0.91608912
74,0.00189247
75,0.87213004
76,0.0005638
77,0.61144
78,0.99998498
79,0.88212889
80,0.9625814
81,0.99999988
82,0.04910389
83,0.00094803
84,0.0921896
85,0.9953621
86,0.10778627
87,0.99999309
88,0.99071151
89,0.06751736
90,0.91880423
91,0.99411994
92,0.99781287
93,0.99993551
94,0.13728324
95,0.98522586
96,0.00893347
97,0.76592797
98,0.02163067
99,4.00208482e-05
100,0.02154574
101,0.87233526
102,0.00879343
103,0.07140353
104,0.00233372
105,0.00294757
106,0.58093905
107,0.19009075
108,0.05479773
109,0.93830246
110,0.92018086
111,0.98055595
112,0.97009695
113,0.23337144
114,0.9935168
115,0.96311277
116,0.00785343
117,0.4858036
118,0.04784544
119,0.00905141
120,0.00790819
121,0.00051179
122,0.80124545
123,0.99962425
124,0.16200805
125,0.11731996
126,0.94812959
127,0.02383894
128,1.0
129,1.0
130,0.99990261
131,0.00380048
132,0.44218853
133,0.35705161
134,0.98434919
135,0.00028859
136,0.3225567
137,0.72319895
138,0.14782883
139,0.06486077
140,0.53934628
141,0.74510688
142,0.99984324
143,0.02431921
144,0.88673216
145,0.99779379
146,0.99058127
147,0.13397369
148,0.00011283
149,0.06406226
150,0.06416632
151,0.64910418
152,0.01436425
153,0.60968488
154,0.99802148
155,0.31538346
156,0.00537035
157,0.09545522
158,0.54997188
159,0.04375968
160,0.94068146
161,0.99319118
162,0.85804951
163,0.05536234
164,0.99999642
165,0.02573424
166,0.01757548
167,0.96782011
168,0.24157432
169,0.57515103
170,0.84564823
171,0.9945491
172,0.51838088
173,0.42014515
174,0.18372178
175,1.0
176,0.85124344
177,0.00742671
178,0.01084432
179,0.40299514
180,1.0
181,0.00909343
182,0.0654584
183,0.00951149
184,0.07079062
185,0.01058052
186,0.41693509
187,0.11086156
188,0.63874191
189,5.00381102e-05
190,0.11661688
191,0.83044308
192,0.04693924
193,0.29556999
194,0.06872075
195,0.37830284
196,0.08592173
197,0.0346274
198,0.06415661
199,0.9996388
200,0.12965234
201,0.79534131
202,0.0243595
203,0.00020318
204,0.86515951
205,0.2140266
206,0.00445436
207,0.01652037
208,0.03804446
209,0.94695199
210,0.34928167
211,0.05842969
212,0.98235518
213,0.00439862
214,0.05531157
215,0.43600649
216,1.0
217,0.02183533
218,0.21578577
219,0.00916626
220,0.01359736
221,0.00055534
222,0.08561829
223,0.48564303
224,1.0
225,0.87619597
226,0.00157809
227,0.00105735
228,0.96399862
229,0.06267624
230,0.43673271
231,0.61704987
232,0.11551013
233,0.01568425
234,0.23851547
235,0.00878704
236,0.01102608
237,0.00876306
238,0.02588654
239,1.0
240,0.91533262
241,0.94378877
242,0.99472517
243,0.0778361
244,0.02079959
245,0.01301027
246,0.97950965
247,0.62174618
248,0.00039112
249,0.00174437
250,0.02333761
251,0.04604763
252,0.05679914
253,0.56929004
254,0.79572523
255,0.08670229
256,0.99155968
257,0.15269378
258,0.36072847
259,0.1934416
260,0.96926057
261,0.99973541
262,0.19546635
263,0.02459492
